,SEAS,YR,TOTAL,ANOM,Start,End
19,JAS,1951,27.28,0.89,1951-07-01,1951-09-31
20,ASO,1951,27.14,0.99,1951-08-01,1951-10-31
21,SON,1951,27.22,1.15,1951-09-01,1951-11-31
22,OND,1951,27.12,1.04,1951-10-01,1951-12-31
88,AMJ,1957,28.37,0.92,1957-04-01,1957-06-31
89,MJJ,1957,28.34,1.11,1957-05-01,1957-07-31
90,JJA,1957,28.06,1.25,1957-06-01,1957-08-31
91,JAS,1957,27.75,1.32,1957-07-01,1957-09-31
92,ASO,1957,27.5,1.33,1957-08-01,1957-10-31
93,SON,1957,27.48,1.39,1957-09-01,1957-11-31
94,OND,1957,27.64,1.53,1957-10-01,1957-12-31
95,NDJ,1957,27.94,1.74,1957-11-01,1957-01-31
96,DJF,1958,28.15,1.81,1958-12-01,1958-02-31
97,JFM,1958,28.27,1.66,1958-01-01,1958-03-31
98,FMA,1958,28.26,1.27,1958-02-01,1958-04-31
99,MAM,1958,28.28,0.93,1958-03-01,1958-05-31
162,JJA,1963,27.62,0.86,1963-06-01,1963-08-31
163,JAS,1963,27.54,1.14,1963-07-01,1963-09-31
164,ASO,1963,27.4,1.22,1963-08-01,1963-10-31
165,SON,1963,27.4,1.29,1963-09-01,1963-11-31
166,OND,1963,27.47,1.37,1963-10-01,1963-12-31
167,NDJ,1963,27.47,1.31,1963-11-01,1963-01-31
168,DJF,1964,27.36,1.07,1964-12-01,1964-02-31
186,JJA,1965,27.98,1.22,1965-06-01,1965-08-31
187,JAS,1965,27.95,1.54,1965-07-01,1965-09-31
188,ASO,1965,28.04,1.85,1965-08-01,1965-10-31
189,SON,1965,28.09,1.98,1965-09-01,1965-11-31
190,OND,1965,28.07,1.97,1965-10-01,1965-12-31
191,NDJ,1965,27.91,1.72,1965-11-01,1965-01-31
192,DJF,1966,27.72,1.37,1966-12-01,1966-02-31
193,JFM,1966,27.81,1.17,1966-01-01,1966-03-31
194,FMA,1966,27.98,0.98,1966-02-01,1966-04-31
227,NDJ,1968,27.32,0.98,1968-11-01,1968-01-31
228,DJF,1969,27.54,1.13,1969-12-01,1969-02-31
229,JFM,1969,27.73,1.09,1969-01-01,1969-03-31
230,FMA,1969,27.94,0.95,1969-02-01,1969-04-31
237,SON,1969,27.2,0.86,1969-09-01,1969-11-31
269,MJJ,1972,28.21,0.92,1972-05-01,1972-07-31
270,JJA,1972,28.09,1.13,1972-06-01,1972-08-31
271,JAS,1972,28.0,1.37,1972-07-01,1972-09-31
272,ASO,1972,28.04,1.58,1972-08-01,1972-10-31
273,SON,1972,28.26,1.84,1972-09-01,1972-11-31
274,OND,1972,28.51,2.09,1972-10-01,1972-12-31
275,NDJ,1972,28.54,2.12,1972-11-01,1972-01-31
276,DJF,1973,28.32,1.84,1973-12-01,1973-02-31
277,JFM,1973,27.95,1.25,1973-01-01,1973-03-31
322,OND,1976,27.32,0.86,1976-10-01,1976-12-31
323,NDJ,1976,27.27,0.85,1976-11-01,1976-01-31
391,JAS,1982,27.81,1.07,1982-07-01,1982-09-31
392,ASO,1982,28.16,1.58,1982-08-01,1982-10-31
393,SON,1982,28.5,1.97,1982-09-01,1982-11-31
394,OND,1982,28.7,2.18,1982-10-01,1982-12-31
395,NDJ,1982,28.76,2.23,1982-11-01,1982-01-31
396,DJF,1983,28.79,2.18,1983-12-01,1983-02-31
397,JFM,1983,28.75,1.92,1983-01-01,1983-03-31
398,FMA,1983,28.71,1.54,1983-02-01,1983-04-31
399,MAM,1983,28.76,1.29,1983-03-01,1983-05-31
400,AMJ,1983,28.63,1.06,1983-04-01,1983-06-31
441,SON,1986,27.49,0.94,1986-09-01,1986-11-31
442,OND,1986,27.64,1.14,1986-10-01,1986-12-31
443,NDJ,1986,27.7,1.22,1986-11-01,1986-01-31
444,DJF,1987,27.76,1.23,1987-12-01,1987-02-31
445,JFM,1987,27.95,1.19,1987-01-01,1987-03-31
446,FMA,1987,28.19,1.06,1987-02-01,1987-04-31
447,MAM,1987,28.41,0.95,1987-03-01,1987-05-31
448,AMJ,1987,28.53,0.97,1987-04-01,1987-06-31
449,MJJ,1987,28.59,1.22,1987-05-01,1987-07-31
450,JJA,1987,28.54,1.51,1987-06-01,1987-08-31
451,JAS,1987,28.45,1.7,1987-07-01,1987-09-31
452,ASO,1987,28.24,1.65,1987-08-01,1987-10-31
453,SON,1987,28.03,1.48,1987-09-01,1987-11-31
454,OND,1987,27.76,1.25,1987-10-01,1987-12-31
455,NDJ,1987,27.59,1.11,1987-11-01,1987-01-31
502,OND,1991,27.91,1.21,1991-10-01,1991-12-31
503,NDJ,1991,28.18,1.53,1991-11-01,1991-01-31
504,DJF,1992,28.39,1.71,1992-12-01,1992-02-31
505,JFM,1992,28.52,1.63,1992-01-01,1992-03-31
506,FMA,1992,28.73,1.48,1992-02-01,1992-04-31
507,MAM,1992,28.88,1.29,1992-03-01,1992-05-31
508,AMJ,1992,28.76,1.06,1992-04-01,1992-06-31
538,OND,1994,27.71,1.01,1994-10-01,1994-12-31
539,NDJ,1994,27.74,1.09,1994-11-01,1994-01-31
540,DJF,1995,27.64,0.96,1995-12-01,1995-02-31
569,MJJ,1997,28.75,1.22,1997-05-01,1997-07-31
570,JJA,1997,28.8,1.6,1997-06-01,1997-08-31
571,JAS,1997,28.81,1.9,1997-07-01,1997-09-31
572,ASO,1997,28.88,2.14,1997-08-01,1997-10-31
573,SON,1997,29.01,2.33,1997-09-01,1997-11-31
574,OND,1997,29.02,2.4,1997-10-01,1997-12-31
575,NDJ,1997,28.97,2.39,1997-11-01,1997-01-31
576,DJF,1998,28.87,2.24,1998-12-01,1998-02-31
577,JFM,1998,28.78,1.93,1998-01-01,1998-03-31
578,FMA,1998,28.68,1.44,1998-02-01,1998-04-31
579,MAM,1998,28.59,0.99,1998-03-01,1998-05-31
631,JAS,2002,27.85,0.86,2002-07-01,2002-09-31
632,ASO,2002,27.83,1.01,2002-08-01,2002-10-31
633,SON,2002,27.97,1.21,2002-09-01,2002-11-31
634,OND,2002,28.03,1.31,2002-10-01,2002-12-31
635,NDJ,2002,27.76,1.14,2002-11-01,2002-01-31
636,DJF,2003,27.51,0.92,2003-12-01,2003-02-31
682,OND,2006,27.62,0.94,2006-10-01,2006-12-31
683,NDJ,2006,27.56,0.94,2006-11-01,2006-01-31
717,SON,2009,27.72,1.01,2009-09-01,2009-11-31
718,OND,2009,28.03,1.36,2009-10-01,2009-12-31
719,NDJ,2009,28.18,1.56,2009-11-01,2009-01-31
720,DJF,2010,28.14,1.5,2010-12-01,2010-02-31
721,JFM,2010,28.09,1.22,2010-01-01,2010-03-31
784,AMJ,2015,28.76,0.93,2015-04-01,2015-06-31
785,MJJ,2015,28.83,1.18,2015-05-01,2015-07-31
786,JJA,2015,28.81,1.52,2015-06-01,2015-08-31
787,JAS,2015,28.82,1.86,2015-07-01,2015-09-31
788,ASO,2015,28.93,2.16,2015-08-01,2015-10-31
789,SON,2015,29.14,2.42,2015-09-01,2015-11-31
790,OND,2015,29.25,2.57,2015-10-01,2015-12-31
791,NDJ,2015,29.26,2.64,2015-11-01,2015-01-31
792,DJF,2016,29.12,2.48,2016-12-01,2016-02-31
793,JFM,2016,29.01,2.14,2016-01-01,2016-03-31
794,FMA,2016,28.88,1.58,2016-02-01,2016-04-31
795,MAM,2016,28.62,0.94,2016-03-01,2016-05-31
826,OND,2018,27.57,0.9,2018-10-01,2018-12-31
882,JJA,2023,28.36,1.07,2023-06-01,2023-08-31
883,JAS,2023,28.28,1.32,2023-07-01,2023-09-31
