observation_date,min_air_temp,max_air_temp,mean_air_temp,sea_temp,humidity,precipitation,sunshine_hours,clouds
1987-06-09,26.6,16.0,,,,0.00,,
1987-06-10,20.0,25.4,21.9,,88,0.00,,8
1987-06-11,20.2,25.4,21.3,,92,0.00,,8
1987-06-12,18.0,,21.5,,98,0.00,,8
1987-06-13,,25.7,22.6,,92,0.00,,8
1987-06-14,,26.0,,,,0.00,,
1987-06-15,17.0,27.0,23.1,,88,0.00,,6
1987-06-16,,25.3,20.9,,97,0.00,,6
1987-06-17,20.1,27.7,23.2,,89,0.00,,5
1987-06-18,,,22.3,,93,0.00,,7
1987-06-19,19.8,27.0,21.6,,94,0.00,,8
1987-06-20,20.2,27.0,22.2,,93,0.00,,5
1987-06-21,21.2,24.4,22.7,,93,0.00,,8
1987-06-22,20.1,25.2,22.9,,91,0.00,,5
1987-06-23,21.4,24.4,22.6,,97,0.00,,8
1987-06-24,20.1,25.0,22.5,,92,0.00,,8
1987-06-25,15.4,27.4,22.0,,95,0.00,,8
1987-06-26,20.2,31.0,22.9,,93,0.00,,8
1987-06-27,21.2,26.0,22.9,,91,0.00,,8
1987-06-28,20.2,27.4,22.4,,89,0.00,,5
1987-06-29,15.4,29.0,22.4,,90,0.00,,7
1987-06-30,14.4,26.0,21.3,,82,0.00,,2
1987-07-01,20.2,23.0,21.5,,96,0.00,,8
1987-07-02,17.2,23.6,22.1,,97,0.00,,8
1987-07-03,17.6,23.8,21.9,,97,20.70,,8
1987-07-04,17.6,24.4,22.5,,90,0.00,,8
1987-07-05,17.2,25.2,21.9,,97,0.00,,8
1987-07-06,20.0,24.2,21.9,,94,0.00,,7
1987-07-07,16.6,25.2,22.0,,86,0.00,,5
1987-07-08,16.0,26.2,21.7,,87,0.00,,5
1987-07-09,15.6,25.8,20.2,,93,0.00,,4
1987-07-10,17.0,25.2,22.1,,92,0.00,,6
1987-07-11,19.6,26.8,21.6,,96,0.40,,8
1987-07-12,15.8,26.0,21.0,,90,0.00,,4
1987-07-13,15.2,25.2,20.4,,94,0.00,,4
1987-07-14,16.4,23.4,21.3,,90,0.00,,6
1987-07-15,20.0,28.4,23.1,,87,0.00,,8
1987-07-16,20.0,24.2,22.3,,88,0.00,,8
1987-07-17,16.4,25.2,21.1,,86,0.00,,7
1987-07-18,18.2,24.2,21.3,,92,1.30,,6
1987-07-19,20.0,25.8,21.9,,90,0.00,,8
1987-07-20,20.0,24.0,21.3,,94,2.00,,8
1987-07-21,20.0,25.0,21.6,,93,1.90,,8
1987-07-22,20.0,23.2,21.3,,95,2.10,,8
1987-07-23,19.8,24.2,21.3,,90,7.20,,8
1987-07-24,19.2,25.2,21.3,,87,0.00,,6
1987-07-25,17.8,25.4,20.7,,85,0.00,,6
1987-07-26,18.8,24.6,21.8,,88,0.00,,8
1987-07-27,18.0,25.2,22.1,,84,0.00,,7
1987-07-28,19.6,22.8,20.6,,95,8.70,,8
1987-07-29,19.4,24.2,21.3,,91,7.50,,8
1987-07-30,18.2,24.0,21.3,,93,0.00,,8
1987-07-31,19.2,24.8,21.2,,87,0.00,,6
1987-08-01,18.8,25.6,20.9,,88,0.00,,7
1987-08-02,17.4,24.6,20.8,,88,0.00,,7
1987-08-03,18.0,25.0,21.1,,90,0.00,,7
1987-08-04,19.4,23.6,21.2,,90,0.90,,8
1987-08-05,20.0,27.0,22.3,,90,0.00,,8
1987-08-06,21.0,23.6,21.8,,95,21.60,,8
1987-08-07,20.6,24.8,21.7,,91,4.50,,8
1987-08-08,19.8,25.4,21.5,,87,0.30,,8
1987-08-09,16.0,26.0,21.5,,89,0.00,,7
1987-08-10,19.0,25.6,21.5,,88,0.00,,8
1987-08-11,19.6,24.2,21.9,,86,0.60,,8
1987-08-12,19.2,25.0,21.9,,88,3.50,,7
1987-08-13,18.6,25.0,,,,3.30,,
1987-08-14,19.2,25.0,20.8,,92,0.00,,8
1987-08-15,16.2,23.4,20.1,,95,1.40,,8
1987-08-16,,24.0,20.5,,96,0.00,,8
1987-08-17,,24.0,,,,0.00,,
1987-08-18,19.0,23.0,,,,0.50,,
1987-08-19,19.0,23.0,20.4,,97,0.00,,8
1987-08-20,17.8,,20.5,,92,0.00,,8
1987-08-21,19.6,25.2,21.6,,96,2.50,,8
1987-08-22,19.6,23.0,21.0,,92,5.30,,8
1987-08-23,20.0,22.8,21.1,,94,0.00,,8
1987-08-24,19.0,23.0,20.3,,96,0.80,,8
1987-08-25,19.6,24.2,21.0,,94,5.70,,8
1987-08-26,19.6,23.0,20.7,,95,4.80,,8
1987-08-27,20.0,24.0,21.5,,89,2.70,,8
1987-08-28,19.2,25.6,21.6,,88,0.10,,8
1987-08-29,20.0,22.0,20.9,,94,16.60,,8
1987-08-30,20.0,24.6,21.3,,93,12.50,,8
1987-08-31,16.2,24.2,20.6,,98,5.50,,8
1987-09-01,16.2,24.0,21.2,,93,7.00,,8
1987-09-02,19.4,22.0,20.7,,95,9.30,,8
1987-09-03,15.6,23.4,21.1,,91,3.90,,8
1987-09-04,19.8,26.4,22.1,,93,0.00,,7
1987-09-05,20.0,25.0,21.7,,91,0.10,,8
1987-09-06,19.6,26.0,21.7,,89,0.00,,8
1987-09-07,19.4,24.4,21.5,,93,0.00,,8
1987-09-08,19.4,,,,,3.20,,8
1987-09-09,19.0,25.4,21.7,,88,2.20,,8
1987-09-10,19.2,25.6,21.7,,85,0.00,,6
1987-09-11,19.2,25.0,21.6,,93,0.00,,8
1987-09-12,19.6,22.6,,,,10.40,,8
1987-09-13,16.4,25.2,21.8,,94,3.80,,8
1987-09-14,16.8,25.4,21.1,,94,3.90,,8
1987-09-15,15.6,,21.6,,91,1.80,,7
1987-09-16,19.6,26.2,22.3,,89,0.50,,7
1987-09-17,19.6,24.0,21.5,,92,5.30,,8
1987-09-18,19.8,26.6,22.2,,94,0.80,,8
1987-09-19,20.0,25.0,21.9,,93,7.50,,8
