Rolling,Lower Bound,Upper Bound,Shift,p-value
15,0,12,0,0.9137266483031605
15,0,12,5,0.7450372642816258
15,0,12,10,0.6239096803595563
15,0,12,15,0.6580310192888801
15,0,12,20,0.7870941686648841
15,0,12,25,0.9621108263986917
15,0,12,30,0.8605359623595842
15,0,12,35,0.6575684042722361
15,0,12,40,0.809538291104793
15,0,12,45,0.9005490075886955
15,0,12,50,0.9413154015933286
15,0,16,0,0.9333350914268486
15,0,16,5,0.7368967364326902
15,0,16,10,0.6195937543678824
15,0,16,15,0.6330723889172061
15,0,16,20,0.7508423829894172
15,0,16,25,0.9106058388652798
15,0,16,30,0.86055539605033
15,0,16,35,0.6576535411101376
15,0,16,40,0.8096287669207087
15,0,16,45,0.8906896228975132
15,0,16,50,0.9547901100394489
15,0,20,0,0.9841402811641015
15,0,20,5,0.7314539277674922
15,0,20,10,0.5953185366075766
15,0,20,15,0.5940494797535729
15,0,20,20,0.7004876897512614
15,0,20,25,0.8692461418053484
15,0,20,30,0.8605690143241335
15,0,20,35,0.6577132188310183
15,0,20,40,0.80969224611066
15,0,20,45,0.882318791517326
15,0,20,50,0.9671687483473931
15,0,24,0,0.9742470517489407
15,0,24,5,0.7274629357972173
15,0,24,10,0.5757400669677306
15,0,24,15,0.5643217327432174
15,0,24,20,0.6598831956818884
15,0,24,25,0.8315462488659737
15,0,24,30,0.8605796090420429
15,0,24,35,0.6577596681712059
15,0,24,40,0.8097416873575641
15,0,24,45,0.8764447141164272
15,0,24,50,0.9764668435447216
15,0,28,0,0.9531808074185426
15,0,28,5,0.7294114486678296
15,0,28,10,0.5604583939883591
15,0,28,15,0.5516488291787192
15,0,28,20,0.6409135782727873
15,0,28,25,0.8310480366183556
15,0,28,30,0.8605880444680409
15,0,28,35,0.6577966760713871
15,0,28,40,0.8097810995091521
15,0,28,45,0.8764516075577313
15,0,28,50,0.9764676695861522
15,0,32,0,0.939817866064801
15,0,32,5,0.7315811205039233
15,0,32,10,0.5474967777244064
15,0,32,15,0.5408653730988866
15,0,32,20,0.6242294501399204
15,0,32,25,0.8310510612238546
15,0,32,30,0.8605947401831605
15,0,32,35,0.6578260809274883
15,0,32,40,0.8098124274069765
15,0,32,45,0.8764570883103477
15,0,32,50,0.9764683264349909
15,0,36,0,0.9331707707948628
15,0,36,5,0.7328411211899075
15,0,36,10,0.5392814775999113
15,0,36,15,0.5348461420521139
15,0,36,20,0.61542598236241
15,0,36,25,0.8310530810096366
15,0,36,30,0.8605992218445931
15,0,36,35,0.6578458080909675
15,0,36,40,0.8098334509615895
15,0,36,45,0.8764607669913709
15,0,36,50,0.9764687677765679
15,0,40,0,0.9282681539240383
15,0,40,5,0.7338567692411392
15,0,40,10,0.5404339478463592
15,0,40,15,0.5348471787617024
15,0,40,20,0.615427135115727
15,0,40,25,0.831054650934374
15,0,40,30,0.8606027141411798
15,0,40,35,0.6578612188556299
15,0,40,40,0.8098498779478656
15,0,40,45,0.8764636417390541
15,0,40,50,0.9764691131024779
15,0,44,0,0.9272067537886256
15,0,44,5,0.7340862470061087
15,0,44,10,0.540689192146776
15,0,44,15,0.5348479067693882
15,0,44,20,0.6154279445943174
15,0,44,25,0.8310557586693725
15,0,44,30,0.8606051900501718
15,0,44,35,0.6578721954969788
15,0,44,40,0.8098615802981541
15,0,44,45,0.8764656898710018
15,0,44,50,0.976469359772645
15,0,48,0,0.9272069197815557
15,0,48,5,0.7340856461844908
15,0,48,10,0.5406892639518173
15,0,48,15,0.5348483303721119
15,0,48,20,0.6154284155951616
15,0,48,25,0.83105641071561
15,0,48,30,0.860606663999954
15,0,48,35,0.6578788013812487
15,0,48,40,0.8098686236574636
15,0,48,45,0.8764669226707391
15,0,48,50,0.9764695091834491
15,0,52,0,0.9272070291750565
15,0,52,5,0.7340852502578652
15,0,52,10,0.5406893112885006
15,0,52,15,0.5348486095440673
15,0,52,20,0.6154287260017741
15,0,52,25,0.8310568473641902
15,0,52,30,0.860607666133739
15,0,52,35,0.6578833569663167
15,0,52,40,0.8098734812802548
15,0,52,45,0.8764677729387829
15,0,52,50,0.9764696130748337
15,0,300,0,0.9272072869138821
15,0,300,5,0.7340843175281595
15,0,300,10,0.5406894228639036
15,0,300,15,0.5348492673070978
15,0,300,20,0.615429457348577
15,0,300,25,0.8310580035950863
15,0,300,30,0.8606105921868789
15,0,300,35,0.6578978016239898
15,0,300,40,0.8098888852234873
15,0,300,45,0.876470469382632
15,0,300,50,0.9764699503908334
15,1,12,0,0.9108866076480711
15,1,12,5,0.7387037792435951
15,1,12,10,0.6238879354830236
15,1,12,15,0.6267414636655899
15,1,12,20,0.7287095441657463
15,1,12,25,0.8688724632963747
15,1,12,30,0.9257432347915826
15,1,12,35,0.744326197552009
15,1,12,40,0.636768490859005
15,1,12,45,0.5985752947252447
15,1,12,50,0.9522344915874581
15,1,16,0,0.9484533710308956
15,1,16,5,0.7324218004068981
15,1,16,10,0.6087148973747631
15,1,16,15,0.5936860198073328
15,1,16,20,0.6803270052523934
15,1,16,25,0.8070368005835196
15,1,16,30,0.9257606248194536
15,1,16,35,0.7444304968815423
15,1,16,40,0.6353775861503488
15,1,16,45,0.6222922672770752
15,1,16,50,0.9418553304562948
15,1,20,0,0.9959787137505993
15,1,20,5,0.7281181134655481
15,1,20,10,0.58352713578916
15,1,20,15,0.5578273346491962
15,1,20,20,0.6317418228767313
15,1,20,25,0.759488597656867
15,1,20,30,0.9257730051349159
15,1,20,35,0.7445047696098408
15,1,20,40,0.6328468693641387
15,1,20,45,0.6354548608088247
15,1,20,50,0.9325733671386279
15,1,24,0,0.9551117636543406
15,1,24,5,0.7262432614415668
15,1,24,10,0.564070819945445
15,1,24,15,0.5351272344122959
15,1,24,20,0.5988766142070102
15,1,24,25,0.7269421053889652
15,1,24,30,0.925782899907594
15,1,24,35,0.7445641574708094
15,1,24,40,0.6305859484605678
15,1,24,45,0.6443636699976623
15,1,24,50,0.9278047103724313
15,1,28,0,0.9353661601812864
15,1,28,5,0.7303412319522907
15,1,28,10,0.5492971011555137
15,1,28,15,0.5248940318993822
15,1,28,20,0.582611727170382
15,1,28,25,0.7269503771250436
15,1,28,30,0.9257909551705671
15,1,28,35,0.744612537900293
15,1,28,40,0.6286929025308079
15,1,28,45,0.6507851670008602
15,1,28,50,0.9278075817023735
15,1,32,0,0.9235952438366155
15,1,32,5,0.7333345763267932
15,1,32,10,0.5370129221515142
15,1,32,15,0.5165044722357428
15,1,32,20,0.5689536680012369
15,1,32,25,0.7269568474524821
15,1,32,30,0.9257972626876405
15,1,32,35,0.7446504647574455
15,1,32,40,0.6272173042725524
15,1,32,45,0.6553828863814204
15,1,32,50,0.9278098350641564
15,1,36,0,0.9183300909842436
15,1,36,5,0.7348305871579881
15,1,36,10,0.5323682314087776
15,1,36,15,0.5136070390762153
15,1,36,20,0.5646775839103866
15,1,36,25,0.7269611779103986
15,1,36,30,0.9258014949867607
15,1,36,35,0.7446759799938765
15,1,36,40,0.6262383106501246
15,1,36,45,0.6582880484899183
15,1,36,50,0.9278113538359718
15,1,40,0,0.913639770997371
15,1,40,5,0.7362554151162007
15,1,40,10,0.5335546758257959
15,1,40,15,0.5136077655616598
15,1,40,20,0.5646787061828626
15,1,40,25,0.7269645125250433
15,1,40,30,0.9258047636012668
15,1,40,35,0.7446957436159286
15,1,40,40,0.6254902493085386
15,1,40,45,0.6604443178264143
15,1,40,50,0.9278125325674405
15,1,44,0,0.9136401287947912
15,1,44,5,0.7362533789926944
15,1,44,10,0.5335545589514799
15,1,44,15,0.513608311561896
15,1,44,20,0.5646795495815848
15,1,44,25,0.7269670301630975
15,1,44,30,0.9258072425008942
15,1,44,35,0.7447107986056469
15,1,44,40,0.6249272492923703
15,1,44,45,0.662035562063382
15,1,44,50,0.9278134329760638
15,1,48,0,0.9136402913714179
15,1,48,5,0.7362524539424499
15,1,48,10,0.5335545058956613
15,1,48,15,0.5136085596725566
15,1,48,20,0.5646799328173406
15,1,48,25,0.7269681974742705
15,1,48,30,0.9258084141773589
15,1,48,35,0.744718046244934
15,1,48,40,0.6246584673421782
15,1,48,45,0.6627865367960448
15,1,48,50,0.9278138711598687
15,1,52,0,0.9136404364508337
15,1,52,5,0.7362516285148977
15,1,52,10,0.53355445857597
15,1,52,15,0.5136087810910142
15,1,52,20,0.5646802748148231
15,1,52,25,0.7269692472320151
15,1,52,30,0.9258094754022783
15,1,52,35,0.744724654385533
15,1,52,40,0.6244147240010939
15,1,52,45,0.6634629951370874
15,1,52,50,0.9278142722227712
15,1,300,0,0.9136407391826744
15,1,300,5,0.7362499063329404
15,1,300,10,0.5335543599157255
15,1,300,15,0.5136092431442691
15,1,300,20,0.5646809884632594
15,1,300,25,0.726971750300659
15,1,300,30,0.9258122969624181
15,1,300,35,0.744743895842318
15,1,300,40,0.6237124359827804
15,1,300,45,0.6653894609712911
15,1,300,50,0.9278154704889561
15,2,12,0,0.9353935370522892
15,2,12,5,0.734573622831743
15,2,12,10,0.6275460558924695
15,2,12,15,0.6000087012775167
15,2,12,20,0.6687852463921427
15,2,12,25,0.7691270273293498
15,2,12,30,0.9684682062530071
15,2,12,35,0.7312307489329942
15,2,12,40,0.6840723496404528
15,2,12,45,0.8533893396110186
15,2,12,50,0.9511734744287068
15,2,16,0,0.9924283455650131
15,2,16,5,0.7291689233972845
15,2,16,10,0.5982348744339636
15,2,16,15,0.5583760039836791
15,2,16,20,0.6130642129220423
15,2,16,25,0.7054907708774465
15,2,16,30,0.9684779368785895
15,2,16,35,0.7313621176430908
15,2,16,40,0.6710615051919087
15,2,16,45,0.8563496212166848
15,2,16,50,0.9388896086707372
15,2,20,0,0.9534679919596656
15,2,20,5,0.7258175382277853
15,2,20,10,0.5726345450512167
15,2,20,15,0.5284183479285811
15,2,20,20,0.573040793063324
15,2,20,25,0.6582908667649423
15,2,20,30,0.9684851215425286
15,2,20,35,0.7314591520706193
15,2,20,40,0.6635362003893727
15,2,20,45,0.8592265086392642
15,2,20,50,0.9281506265022303
15,2,24,0,0.9196720734338273
15,2,24,5,0.7265574051062793
15,2,24,10,0.5537718681586299
15,2,24,15,0.5130205759107873
15,2,24,20,0.5508384267485116
15,2,24,25,0.6376317238456543
15,2,24,30,0.9684909929573737
15,2,24,35,0.7315384939187641
15,2,24,40,0.6583172890600306
15,2,24,45,0.8605569301965559
15,2,24,50,0.9251040444333892
15,2,28,0,0.9031300903485008
15,2,28,5,0.7314329603762619
15,2,28,10,0.5395356979214307
15,2,28,15,0.5053077724429249
15,2,28,20,0.5385929859057985
15,2,28,25,0.6376430325906287
15,2,28,30,0.9684958295901833
15,2,28,35,0.7316039053242744
15,2,28,40,0.6544265481547671
15,2,28,45,0.8610144994896406
15,2,28,50,0.9251076885140732
15,2,32,0,0.8943597276383054
15,2,32,5,0.7346147912446277
15,2,32,10,0.5274767240846627
15,2,32,15,0.4994084854698603
15,2,32,20,0.5293091649023618
15,2,32,25,0.637651471785281
15,2,32,30,0.9684994432631172
15,2,32,35,0.7316528534717701
15,2,32,40,0.6519006092370698
15,2,32,45,0.8612368376145334
15,2,32,50,0.9251104192168222
15,2,36,0,0.8898878844265345
15,2,36,5,0.7363751978655124
15,2,36,10,0.5265200114134885
15,2,36,15,0.4985987942026605
15,2,36,20,0.5281576137039987
15,2,36,25,0.6376574114365474
15,2,36,30,0.9685019931217304
15,2,36,35,0.7316874883976182
15,2,36,40,0.6501822005918985
15,2,36,45,0.8613331082757936
15,2,36,50,0.925112355274681
15,2,40,0,0.8868391227832502
15,2,40,5,0.7376477809995795
15,2,40,10,0.5274376418055441
15,2,40,15,0.49859900545544467
15,2,40,20,0.5281582678078327
15,2,40,25,0.6376618699963557
15,2,40,30,0.968503913921022
15,2,40,35,0.7317136742882591
15,2,40,40,0.6489402115209237
15,2,40,45,0.8613731200901334
15,2,40,50,0.9251138225674511
15,2,44,0,0.8868395396164243
15,2,44,5,0.7376449279284517
15,2,44,10,0.5274373154435283
15,2,44,15,0.49859915998423376
15,2,44,20,0.528158746047237
15,2,44,25,0.6376651489748648
15,2,44,30,0.968505334486645
15,2,44,35,0.7317331491847414
15,2,44,40,0.6480466272530951
15,2,44,45,0.8613850073108313
15,2,44,50,0.9251149176080424
15,2,48,0,0.8868397429931294
15,2,48,5,0.7376435361077347
15,2,48,10,0.5274371562747611
15,2,48,15,0.4985992354098179
15,2,48,20,0.5281589794058517
15,2,48,25,0.6376667836602778
15,2,48,30,0.9685060571634317
15,2,48,35,0.7317432491735123
15,2,48,40,0.6475929119664322
15,2,48,45,0.8613852827336
15,2,48,50,0.9251154919081428
15,2,52,0,0.8868399393507179
15,2,52,5,0.7376421924584393
15,2,52,10,0.5274370026405089
15,2,52,15,0.4985993082506859
15,2,52,20,0.5281592047239141
15,2,52,25,0.6376683700945549
15,2,52,30,0.9685067617859809
15,2,52,35,0.7317531399197186
15,2,52,40,0.6471548457628304
15,2,52,45,0.8613817110908677
15,2,52,50,0.9251160557461443
15,2,300,0,0.8868402962187698
15,2,300,5,0.7376397508068986
15,2,300,10,0.5274367235245963
15,2,300,15,0.4985994406801887
15,2,300,20,0.5281596142570752
15,2,300,25,0.6376717353422119
15,2,300,30,0.9685084525752059
15,2,300,35,0.7317794084456656
15,2,300,40,0.646020473429171
15,2,300,45,0.861354113243487
15,2,300,50,0.9251175958704756
15,3,12,0,0.948921813134749
15,3,12,5,0.7330228665952321
15,3,12,10,0.6313626687700927
15,3,12,15,0.5778323913236126
15,3,12,20,0.6323963413049981
15,3,12,25,0.682439974129567
15,3,12,30,0.9900167599522959
15,3,12,35,0.7321974207262607
15,3,12,40,0.6704448306962417
15,3,12,45,0.8571024230685411
15,3,12,50,0.9115986764237497
15,3,16,0,0.9776608900769662
15,3,16,5,0.7282694129244247
15,3,16,10,0.5938954252988464
15,3,16,15,0.5356567604508006
15,3,16,20,0.5770832440277625
15,3,16,25,0.6218176569585792
15,3,16,30,0.9900206044195425
15,3,16,35,0.7323615681481968
15,3,16,40,0.658515191349062
15,3,16,45,0.8610900599861129
15,3,16,50,0.9006219770863093
15,3,20,0,0.9247752203659982
15,3,20,5,0.7255913620521093
15,3,20,10,0.5673724645380146
15,3,20,15,0.5113191646690713
15,3,20,20,0.543930489586253
15,3,20,25,0.5802086919991551
15,3,20,30,0.9900236192649619
15,3,20,35,0.7324903430143751
15,3,20,40,0.6512545799535775
15,3,20,45,0.8647963167432327
15,3,20,50,0.8913383030421438
15,3,24,0,0.8976191300313257
15,3,24,5,0.7288779434605444
15,3,24,10,0.5487711487245738
15,3,24,15,0.501417739178883
15,3,24,20,0.5287563335895706
15,3,24,25,0.5713996737331398
15,3,24,30,0.9900261072888529
15,3,24,35,0.7325966797618962
15,3,24,40,0.6462478867389174
15,3,24,45,0.8656530324204974
15,3,24,50,0.8908391035182885
15,3,28,0,0.8838890043868786
15,3,28,5,0.7341339464505982
15,3,28,10,0.5348970692002317
15,3,28,15,0.49579955378911056
15,3,28,20,0.5191910203558179
15,3,28,25,0.5714104934844377
15,3,28,30,0.9900281503486811
15,3,28,35,0.7326840801536307
15,3,28,40,0.6426591041885628
15,3,28,45,0.8659110856943204
15,3,28,50,0.8908443024287384
15,3,32,0,0.8770336594748143
15,3,32,5,0.7371955448848566
15,3,32,10,0.5238943159254554
15,3,32,15,0.49218724873986286
15,3,32,20,0.5133312889153409
15,3,32,25,0.5714182863556412
15,3,32,30,0.990029623429775
15,3,32,35,0.7327472239614177
15,3,32,40,0.6403143385532507
15,3,32,45,0.8659244745201495
15,3,32,50,0.8908480661777086
15,3,36,0,0.8729758358686712
15,3,36,5,0.7391837867528905
15,3,36,10,0.5252816378704142
15,3,36,15,0.4921867164687239
15,3,36,20,0.5133314487900666
15,3,36,25,0.571424060047443
15,3,36,30,0.9900307173175955
15,3,36,35,0.732794251204681
15,3,36,40,0.6386872098891554
15,3,36,45,0.8658465814559865
15,3,36,50,0.8908508759213727
15,3,40,0,0.8711618956599833
