Volcano,Start,Max Explosivity
Fernandina,1917-05-14,0
Fernandina,1905-04-09,n/a
Fernandina,1927-12-13,0
Fernandina,1937-03-01,0
Fernandina,1958-09-16,2
Fernandina,1961-03-21,2
Fernandina,1972-06-04,0
Wolf,1925-04-11,1
Wolf,1935-02-01,n/a
Wolf,1948-01-24,2
Wolf,1963-03-04,0
"Azul, Cerro",1943-04-13,1
"Azul, Cerro",1948-06-30,0
"Azul, Cerro",1951-07-02,n/a
"Azul, Cerro",1959-06-29,2
"Negra, Sierra",1911-12-31,n/a
"Negra, Sierra",1948-08-19,2
"Negra, Sierra",1953-08-27,3
"Negra, Sierra",1954-11-09,2
"Negra, Sierra",1963-04-13,2
Alcedo,1953-07-02,0
"Azul, Cerro",1967-08-09,None
Fernandina,1968-05-21,1968-05-23
Fernandina,1968-06-11,1968-07-04
Fernandina,1972-06-04,None
Fernandina,1973-12-09,1973-12-16
Fernandina,1977-03-23,1977-03-27
Fernandina,1978-08-08,1978-08-26
"Azul, Cerro",1979-01-29,1979-03-04
"Negra, Sierra",1979-11-13,1980-01-14
Fernandina,1981-08-01,None
Wolf,1982-08-28,1982-09-06
Fernandina,1984-03-30,None
Fernandina,1988-09-14,1988-09-16
Fernandina,1991-04-19,1991-04-24
Marchena,1991-09-25,1991-11-16
Alcedo,1993-12-05,None
Fernandina,1995-01-25,1995-04-08
"Negra, Sierra",1998-01-11,None
"Azul, Cerro",1998-09-15,1998-10-21
"Negra, Sierra",2005-04-16,None
Fernandina,2005-05-13,2005-05-29
"Negra, Sierra",2005-10-22,2005-10-30
"Azul, Cerro",2008-05-29,2008-06-17
Fernandina,2009-04-10,2009-04-28
Wolf,2015-05-25,2015-07-16
Fernandina,2017-09-04,2017-09-07
"Azul, Cerro",2017-03-10,None
Fernandina,2018-06-16,2018-06-21
"Negra, Sierra",2018-06-26,2018-08-23
Fernandina,2020-01-12,2020-01-13
Wolf,2022-01-06,2022-04-14
