Volcano,Start,Max Explosivity
Fernandina,1917-05-14,0
Fernandina,1905-04-09,n/a
Fernandina,1927-12-13,0
Fernandina,1937-03-01,0
Fernandina,1958-09-16,2
Fernandina,1961-03-21,2
Fernandina,1972-06-04,0
Wolf,1925-04-11,1
Wolf,1935-02-01,n/a
Wolf,1948-01-24,2
Wolf,1963-03-04,0
"Azul, Cerro",1943-04-13,1
"Azul, Cerro",1948-06-30,0
"Azul, Cerro",1951-07-02,n/a
"Azul, Cerro",1959-06-29,2
"Negra, Sierra",1911-12-31,n/a
"Negra, Sierra",1948-08-19,2
"Negra, Sierra",1953-08-27,3
"Negra, Sierra",1954-11-09,2
"Negra, Sierra",1963-04-13,2
Alcedo,1953-07-02,0
