Volcano,Start,End,Max Explosivity
"Fournaise, Piton de la",2014-06-21,2014-06-21,0
"Fournaise, Piton de la",1960-01-11,1960-03-10,2
"Fournaise, Piton de la",1961-04-05,1961-04-25,0
"Fournaise, Piton de la",1963-11-07,1963-11-21,2
"Fournaise, Piton de la",1964-04-30,1964-05-08,2
"Fournaise, Piton de la",1964-12-21,1965-02-15,2
"Fournaise, Piton de la",1966-03-15,1966-05-15,2
"Fournaise, Piton de la",1972-06-09,1973-01-16,2
"Fournaise, Piton de la",1973-05-10,1973-09-05,2
"Fournaise, Piton de la",1975-11-04,1976-04-06,1
"Fournaise, Piton de la",1976-11-02,1976-11-04,1
"Fournaise, Piton de la",1977-03-24,1977-04-16,0
"Fournaise, Piton de la",1977-10-24,1977-11-17,1
"Fournaise, Piton de la",1979-05-28,1979-07-14,1
"Fournaise, Piton de la",1981-02-03,1981-05-05,2
"Fournaise, Piton de la",1983-12-04,1984-02-18,2
"Fournaise, Piton de la",1985-06-14,1986-04-05,1
"Fournaise, Piton de la",1990-01-18,1990-05-08,0
"Fournaise, Piton de la",1991-07-19,1991-07-20,0
"Fournaise, Piton de la",1992-08-27,1992-09-23,1
"Fournaise, Piton de la",1998-03-09,1998-09-21,1
"Fournaise, Piton de la",1999-07-19,1999-10-23,0
"Fournaise, Piton de la",2000-02-14,2000-03-04,0
"Fournaise, Piton de la",2000-06-23,2000-11-13,1
"Fournaise, Piton de la",2001-03-27,2001-07-07,0
"Fournaise, Piton de la",2002-01-05,2002-01-16,0
"Fournaise, Piton de la",2002-11-16,2002-12-23,2
"Fournaise, Piton de la",2003-05-30,2004-01-10,0
"Fournaise, Piton de la",2004-05-02,2004-10-14,1
"Fournaise, Piton de la",2005-02-17,2005-02-26,0
"Fournaise, Piton de la",2005-10-04,2006-01-18,0
"Fournaise, Piton de la",2006-07-20,2007-05-01,1
"Fournaise, Piton de la",2008-09-12,2009-02-04,1
"Fournaise, Piton de la",2015-02-04,2015-02-15,0
"Fournaise, Piton de la",2020-02-10,2020-04-06,0
"Fournaise, Piton de la",2016-05-26,2016-05-27,0
"Fournaise, Piton de la",2016-09-11,2016-09-18,0
"Fournaise, Piton de la",2017-01-31,2017-02-27,0
"Fournaise, Piton de la",2009-11-05,2010-01-12,1
"Fournaise, Piton de la",2010-10-14,2010-12-10,0
"Fournaise, Piton de la",1986-11-12,1987-02-10,1
"Fournaise, Piton de la",1987-06-10,1987-07-20,0
"Fournaise, Piton de la",2017-07-14,2017-08-28,0
"Fournaise, Piton de la",2018-04-03,2018-11-01,0
"Fournaise, Piton de la",2019-02-18,2019-03-10,0
"Fournaise, Piton de la",2019-06-11,2019-10-27,0
"Fournaise, Piton de la",1987-11-06,1988-12-29,0
"Fournaise, Piton de la",2022-09-19,2022-10-05,0
"Fournaise, Piton de la",2020-12-07,2020-12-08,0
"Fournaise, Piton de la",2021-04-09,2021-05-24,0
"Fournaise, Piton de la",2021-12-22,2022-01-17,0
"Fournaise, Piton de la",1986-07-13,1986-07-14,0
